怪物ID,怪物类型,怪物所在的格子,掉落包ID,怪物序号,关卡ID备注,副本ID备注,地图名备注,副本名称备注,,,,,,,,,
10429,1055,12,1001,9,1042,104,盛渔村,十里坡(1),,,,,,,,,
10431,1056,3,1002,1,1043,104,盛渔村,十里坡(1),,,,,,,,,
10432,1057,9,1001,2,1043,104,盛渔村,十里坡(1),,,,,,,,,
10433,1058,5,1002,3,1043,104,盛渔村,十里坡(1),,,,,,,,,
10434,1059,1,1001,4,1043,104,盛渔村,十里坡(1),,,,,,,,,
10435,1060,7,1002,5,1043,104,盛渔村,十里坡(1),,,,,,,,,
10436,1057,8,1001,6,1043,104,盛渔村,十里坡(1),,,,,,,,,
10437,1058,10,1002,7,1043,104,盛渔村,十里坡(1),,,,,,,,,
10438,1059,11,1001,8,1043,104,盛渔村,十里坡(1),,,,,,,,,
10439,1060,12,1002,9,1043,104,盛渔村,十里坡(1),,,,,,,,,
10511,1061,3,1001,1,1051,105,盛渔村,十里坡(2),,,,,,,,,
10512,1062,9,1002,2,1051,105,盛渔村,十里坡(2),,,,,,,,,
10513,1063,2,1001,3,1051,105,盛渔村,十里坡(2),,,,,,,,,
10514,1064,5,1002,4,1051,105,盛渔村,十里坡(2),,,,,,,,,
10515,1065,1,1001,5,1051,105,盛渔村,十里坡(2),,,,,,,,,
10516,1062,7,1002,6,1051,105,盛渔村,十里坡(2),,,,,,,,,
10517,1063,10,1001,7,1051,105,盛渔村,十里坡(2),,,,,,,,,
10518,1064,11,1002,8,1051,105,盛渔村,十里坡(2),,,,,,,,,
10519,1065,12,1001,9,1051,105,盛渔村,十里坡(2),,,,,,,,,
10521,1066,3,1002,1,1052,105,盛渔村,十里坡(2),,,,,,,,,
10522,1067,9,1001,2,1052,105,盛渔村,十里坡(2),,,,,,,,,
10523,1068,5,1002,3,1052,105,盛渔村,十里坡(2),,,,,,,,,
10524,1069,8,1001,4,1052,105,盛渔村,十里坡(2),,,,,,,,,
10525,1070,7,1002,5,1052,105,盛渔村,十里坡(2),,,,,,,,,
10526,1067,1,1001,6,1052,105,盛渔村,十里坡(2),,,,,,,,,
10527,1068,10,1002,7,1052,105,盛渔村,十里坡(2),,,,,,,,,
10528,1069,11,1001,8,1052,105,盛渔村,十里坡(2),,,,,,,,,
10529,1070,12,1002,9,1052,105,盛渔村,十里坡(2),,,,,,,,,
10531,1071,6,1001,1,1053,105,盛渔村,十里坡(2),,,,,,,,,
10532,1072,2,1002,2,1053,105,盛渔村,十里坡(2),,,,,,,,,
10533,1073,5,1001,3,1053,105,盛渔村,十里坡(2),,,,,,,,,
10534,1074,8,1002,4,1053,105,盛渔村,十里坡(2),,,,,,,,,
10535,1075,4,1001,5,1053,105,盛渔村,十里坡(2),,,,,,,,,
10536,1072,7,1002,6,1053,105,盛渔村,十里坡(2),,,,,,,,,
10537,1073,10,1001,7,1053,105,盛渔村,十里坡(2),,,,,,,,,
10538,1074,11,1002,8,1053,105,盛渔村,十里坡(2),,,,,,,,,
10539,1075,12,1001,9,1053,105,盛渔村,十里坡(2),,,,,,,,,
10611,1076,3,1002,1,1061,106,盛渔村,十里坡(3),,,,,,,,,
10612,1077,6,1001,2,1061,106,盛渔村,十里坡(3),,,,,,,,,
10613,1078,9,1002,3,1061,106,盛渔村,十里坡(3),,,,,,,,,
10614,1079,5,1001,4,1061,106,盛渔村,十里坡(3),,,,,,,,,
10615,1080,4,1002,5,1061,106,盛渔村,十里坡(3),,,,,,,,,
10616,1077,7,1001,6,1061,106,盛渔村,十里坡(3),,,,,,,,,
10617,1078,10,1002,7,1061,106,盛渔村,十里坡(3),,,,,,,,,
10618,1079,11,1001,8,1061,106,盛渔村,十里坡(3),,,,,,,,,
10619,1080,12,1002,9,1061,106,盛渔村,十里坡(3),,,,,,,,,
10621,1001,6,1001,1,1062,106,盛渔村,十里坡(3),,,,,,,,,
10622,1002,5,1002,2,1062,106,盛渔村,十里坡(3),,,,,,,,,
10623,1003,1,1001,3,1062,106,盛渔村,十里坡(3),,,,,,,,,
10624,1004,4,1002,4,1062,106,盛渔村,十里坡(3),,,,,,,,,
10625,1005,7,1001,5,1062,106,盛渔村,十里坡(3),,,,,,,,,
10626,1002,8,1002,6,1062,106,盛渔村,十里坡(3),,,,,,,,,
10627,1003,10,1001,7,1062,106,盛渔村,十里坡(3),,,,,,,,,
10628,1004,11,1002,8,1062,106,盛渔村,十里坡(3),,,,,,,,,
10629,1005,12,1001,9,1062,106,盛渔村,十里坡(3),,,,,,,,,
10631,1006,3,1002,1,1063,106,盛渔村,十里坡(3),,,,,,,,,
10632,1007,9,1001,2,1063,106,盛渔村,十里坡(3),,,,,,,,,
10633,1008,5,1002,3,1063,106,盛渔村,十里坡(3),,,,,,,,,
10634,1009,1,1001,4,1063,106,盛渔村,十里坡(3),,,,,,,,,
10635,1010,4,1002,5,1063,106,盛渔村,十里坡(3),,,,,,,,,
10636,1007,8,1001,6,1063,106,盛渔村,十里坡(3),,,,,,,,,
10637,1008,10,1002,7,1063,106,盛渔村,十里坡(3),,,,,,,,,
10638,1009,11,1001,8,1063,106,盛渔村,十里坡(3),,,,,,,,,
10639,1010,12,1002,9,1063,106,盛渔村,十里坡(3),,,,,,,,,
10711,1011,3,1001,1,1071,107,盛渔村,仙剑客栈(1),,,,,,,,,
10712,1012,9,1002,2,1071,107,盛渔村,仙剑客栈(1),,,,,,,,,
10713,1013,5,1001,3,1071,107,盛渔村,仙剑客栈(1),,,,,,,,,
10714,1014,4,1002,4,1071,107,盛渔村,仙剑客栈(1),,,,,,,,,
10715,1015,7,1001,5,1071,107,盛渔村,仙剑客栈(1),,,,,,,,,
10716,1012,8,1002,6,1071,107,盛渔村,仙剑客栈(1),,,,,,,,,
10717,1013,10,1001,7,1071,107,盛渔村,仙剑客栈(1),,,,,,,,,
10718,1014,11,1002,8,1071,107,盛渔村,仙剑客栈(1),,,,,,,,,
10719,1015,12,1001,9,1071,107,盛渔村,仙剑客栈(1),,,,,,,,,
10721,1016,9,1002,1,1072,107,盛渔村,仙剑客栈(1),,,,,,,,,
10722,1017,5,1001,2,1072,107,盛渔村,仙剑客栈(1),,,,,,,,,
10723,1018,8,1002,3,1072,107,盛渔村,仙剑客栈(1),,,,,,,,,
10724,1019,1,1001,4,1072,107,盛渔村,仙剑客栈(1),,,,,,,,,
10725,1020,7,1002,5,1072,107,盛渔村,仙剑客栈(1),,,,,,,,,
10726,1017,2,1001,6,1072,107,盛渔村,仙剑客栈(1),,,,,,,,,
10727,1018,10,1002,7,1072,107,盛渔村,仙剑客栈(1),,,,,,,,,
10728,1019,11,1001,8,1072,107,盛渔村,仙剑客栈(1),,,,,,,,,
10729,1020,12,1002,9,1072,107,盛渔村,仙剑客栈(1),,,,,,,,,
10731,1021,3,1001,1,1073,107,盛渔村,仙剑客栈(1),,,,,,,,,
10732,1022,2,1002,2,1073,107,盛渔村,仙剑客栈(1),,,,,,,,,
10733,1023,5,1001,3,1073,107,盛渔村,仙剑客栈(1),,,,,,,,,
10734,1024,1,1002,4,1073,107,盛渔村,仙剑客栈(1),,,,,,,,,
10735,1025,4,1001,5,1073,107,盛渔村,仙剑客栈(1),,,,,,,,,
10736,1022,7,1002,6,1073,107,盛渔村,仙剑客栈(1),,,,,,,,,
10737,1023,10,1001,7,1073,107,盛渔村,仙剑客栈(1),,,,,,,,,
10738,1024,11,1002,8,1073,107,盛渔村,仙剑客栈(1),,,,,,,,,
10739,1025,12,1001,9,1073,107,盛渔村,仙剑客栈(1),,,,,,,,,
10811,1026,9,1002,1,1081,108,盛渔村,仙剑客栈(2),,,,,,,,,
10812,1027,5,1001,2,1081,108,盛渔村,仙剑客栈(2),,,,,,,,,
10813,1028,8,1002,3,1081,108,盛渔村,仙剑客栈(2),,,,,,,,,
10814,1029,4,1001,4,1081,108,盛渔村,仙剑客栈(2),,,,,,,,,
10815,1030,7,1002,5,1081,108,盛渔村,仙剑客栈(2),,,,,,,,,
10816,1027,1,1001,6,1081,108,盛渔村,仙剑客栈(2),,,,,,,,,
10817,1028,10,1002,7,1081,108,盛渔村,仙剑客栈(2),,,,,,,,,
10818,1029,11,1001,8,1081,108,盛渔村,仙剑客栈(2),,,,,,,,,
10819,1030,12,1002,9,1081,108,盛渔村,仙剑客栈(2),,,,,,,,,
10821,1031,3,1001,1,1082,108,盛渔村,仙剑客栈(2),,,,,,,,,
10822,1032,9,1002,2,1082,108,盛渔村,仙剑客栈(2),,,,,,,,,
10823,1033,5,1001,3,1082,108,盛渔村,仙剑客栈(2),,,,,,,,,
10824,1034,1,1002,4,1082,108,盛渔村,仙剑客栈(2),,,,,,,,,
10825,1035,7,1001,5,1082,108,盛渔村,仙剑客栈(2),,,,,,,,,
10826,1032,8,1002,6,1082,108,盛渔村,仙剑客栈(2),,,,,,,,,
10827,1033,10,1001,7,1082,108,盛渔村,仙剑客栈(2),,,,,,,,,
10828,1034,11,1002,8,1082,108,盛渔村,仙剑客栈(2),,,,,,,,,
10829,1035,12,1001,9,1082,108,盛渔村,仙剑客栈(2),,,,,,,,,
10831,1036,3,1002,1,1083,108,盛渔村,仙剑客栈(2),,,,,,,,,
10832,1037,9,1001,2,1083,108,盛渔村,仙剑客栈(2),,,,,,,,,
10833,1038,2,1002,3,1083,108,盛渔村,仙剑客栈(2),,,,,,,,,
10834,1039,5,1001,4,1083,108,盛渔村,仙剑客栈(2),,,,,,,,,
10835,1040,1,1002,5,1083,108,盛渔村,仙剑客栈(2),,,,,,,,,
10836,1037,7,1001,6,1083,108,盛渔村,仙剑客栈(2),,,,,,,,,
10837,1038,10,1002,7,1083,108,盛渔村,仙剑客栈(2),,,,,,,,,
10838,1039,11,1001,8,1083,108,盛渔村,仙剑客栈(2),,,,,,,,,
10839,1040,12,1002,9,1083,108,盛渔村,仙剑客栈(2),,,,,,,,,
10911,1041,3,1001,1,1091,109,盛渔村,仙剑客栈(3),,,,,,,,,
10912,1042,9,1002,2,1091,109,盛渔村,仙剑客栈(3),,,,,,,,,
10913,1043,5,1001,3,1091,109,盛渔村,仙剑客栈(3),,,,,,,,,
10914,1044,8,1002,4,1091,109,盛渔村,仙剑客栈(3),,,,,,,,,
10915,1045,7,1001,5,1091,109,盛渔村,仙剑客栈(3),,,,,,,,,
10916,1042,1,1002,6,1091,109,盛渔村,仙剑客栈(3),,,,,,,,,
10917,1043,10,1001,7,1091,109,盛渔村,仙剑客栈(3),,,,,,,,,
10918,1044,11,1002,8,1091,109,盛渔村,仙剑客栈(3),,,,,,,,,
10919,1045,12,1001,9,1091,109,盛渔村,仙剑客栈(3),,,,,,,,,
10921,1046,6,1002,1,1092,109,盛渔村,仙剑客栈(3),,,,,,,,,
10922,1047,2,1001,2,1092,109,盛渔村,仙剑客栈(3),,,,,,,,,
10923,1048,5,1002,3,1092,109,盛渔村,仙剑客栈(3),,,,,,,,,
10924,1049,8,1001,4,1092,109,盛渔村,仙剑客栈(3),,,,,,,,,
10925,1050,4,1002,5,1092,109,盛渔村,仙剑客栈(3),,,,,,,,,
10926,1047,7,1001,6,1092,109,盛渔村,仙剑客栈(3),,,,,,,,,
10927,1048,10,1002,7,1092,109,盛渔村,仙剑客栈(3),,,,,,,,,
10928,1049,11,1001,8,1092,109,盛渔村,仙剑客栈(3),,,,,,,,,
10929,1050,12,1002,9,1092,109,盛渔村,仙剑客栈(3),,,,,,,,,
10931,1051,3,1001,1,1093,109,盛渔村,仙剑客栈(3),,,,,,,,,
10932,1052,6,1002,2,1093,109,盛渔村,仙剑客栈(3),,,,,,,,,
10933,1053,9,1001,3,1093,109,盛渔村,仙剑客栈(3),,,,,,,,,
10934,1054,5,1002,4,1093,109,盛渔村,仙剑客栈(3),,,,,,,,,
10935,1055,4,1001,5,1093,109,盛渔村,仙剑客栈(3),,,,,,,,,
10936,1052,7,1002,6,1093,109,盛渔村,仙剑客栈(3),,,,,,,,,
10937,1053,10,1001,7,1093,109,盛渔村,仙剑客栈(3),,,,,,,,,
10938,1054,11,1002,8,1093,109,盛渔村,仙剑客栈(3),,,,,,,,,
10939,1055,12,1001,9,1093,109,盛渔村,仙剑客栈(3),,,,,,,,,
20111,1056,6,1002,1,2011,201,苏州城,苏州城外(1),,,,,,,,,
20112,1057,5,1001,2,2011,201,苏州城,苏州城外(1),,,,,,,,,
20113,1058,1,1002,3,2011,201,苏州城,苏州城外(1),,,,,,,,,
20114,1059,4,1001,4,2011,201,苏州城,苏州城外(1),,,,,,,,,
20115,1060,7,1002,5,2011,201,苏州城,苏州城外(1),,,,,,,,,
20116,1057,8,1001,6,2011,201,苏州城,苏州城外(1),,,,,,,,,
20117,1058,10,1002,7,2011,201,苏州城,苏州城外(1),,,,,,,,,
20118,1059,11,1001,8,2011,201,苏州城,苏州城外(1),,,,,,,,,
20119,1060,12,1002,9,2011,201,苏州城,苏州城外(1),,,,,,,,,
20121,1061,3,1001,1,2012,201,苏州城,苏州城外(1),,,,,,,,,
20122,1062,9,1002,2,2012,201,苏州城,苏州城外(1),,,,,,,,,
20123,1063,5,1001,3,2012,201,苏州城,苏州城外(1),,,,,,,,,
20124,1064,1,1002,4,2012,201,苏州城,苏州城外(1),,,,,,,,,
20125,1065,4,1001,5,2012,201,苏州城,苏州城外(1),,,,,,,,,
20126,1062,8,1002,6,2012,201,苏州城,苏州城外(1),,,,,,,,,
20127,1063,10,1001,7,2012,201,苏州城,苏州城外(1),,,,,,,,,
20128,1064,11,1002,8,2012,201,苏州城,苏州城外(1),,,,,,,,,
20129,1065,12,1001,9,2012,201,苏州城,苏州城外(1),,,,,,,,,
20131,1066,3,1002,1,2013,201,苏州城,苏州城外(1),,,,,,,,,
20132,1067,9,1001,2,2013,201,苏州城,苏州城外(1),,,,,,,,,
20133,1068,5,1002,3,2013,201,苏州城,苏州城外(1),,,,,,,,,
20134,1069,4,1001,4,2013,201,苏州城,苏州城外(1),,,,,,,,,
20135,1070,7,1002,5,2013,201,苏州城,苏州城外(1),,,,,,,,,
20136,1067,8,1001,6,2013,201,苏州城,苏州城外(1),,,,,,,,,
20137,1068,10,1002,7,2013,201,苏州城,苏州城外(1),,,,,,,,,
20138,1069,11,1001,8,2013,201,苏州城,苏州城外(1),,,,,,,,,
20139,1070,12,1002,9,2013,201,苏州城,苏州城外(1),,,,,,,,,
20211,1071,9,1001,1,2021,202,苏州城,苏州城外(2),,,,,,,,,
20212,1072,5,1002,2,2021,202,苏州城,苏州城外(2),,,,,,,,,
20213,1073,8,1001,3,2021,202,苏州城,苏州城外(2),,,,,,,,,
20214,1074,1,1002,4,2021,202,苏州城,苏州城外(2),,,,,,,,,
20215,1075,7,1001,5,2021,202,苏州城,苏州城外(2),,,,,,,,,
20216,1072,2,1002,6,2021,202,苏州城,苏州城外(2),,,,,,,,,
20217,1073,10,1001,7,2021,202,苏州城,苏州城外(2),,,,,,,,,
20218,1074,11,1002,8,2021,202,苏州城,苏州城外(2),,,,,,,,,
20219,1075,12,1001,9,2021,202,苏州城,苏州城外(2),,,,,,,,,
20221,1076,3,1002,1,2022,202,苏州城,苏州城外(2),,,,,,,,,
20222,1077,2,1001,2,2022,202,苏州城,苏州城外(2),,,,,,,,,
20223,1078,5,1002,3,2022,202,苏州城,苏州城外(2),,,,,,,,,
20224,1079,1,1001,4,2022,202,苏州城,苏州城外(2),,,,,,,,,
20225,1080,4,1002,5,2022,202,苏州城,苏州城外(2),,,,,,,,,
20226,1077,7,1001,6,2022,202,苏州城,苏州城外(2),,,,,,,,,
20227,1078,10,1002,7,2022,202,苏州城,苏州城外(2),,,,,,,,,
20228,1079,11,1001,8,2022,202,苏州城,苏州城外(2),,,,,,,,,
20229,1080,12,1002,9,2022,202,苏州城,苏州城外(2),,,,,,,,,
20231,1001,9,1001,1,2023,202,苏州城,苏州城外(2),,,,,,,,,
20232,1002,5,1002,2,2023,202,苏州城,苏州城外(2),,,,,,,,,
20233,1003,8,1001,3,2023,202,苏州城,苏州城外(2),,,,,,,,,
20234,1004,4,1002,4,2023,202,苏州城,苏州城外(2),,,,,,,,,
20235,1005,7,1001,5,2023,202,苏州城,苏州城外(2),,,,,,,,,
20236,1002,1,1002,6,2023,202,苏州城,苏州城外(2),,,,,,,,,
20237,1003,10,1001,7,2023,202,苏州城,苏州城外(2),,,,,,,,,
20238,1004,11,1002,8,2023,202,苏州城,苏州城外(2),,,,,,,,,
20239,1005,12,1001,9,2023,202,苏州城,苏州城外(2),,,,,,,,,
20311,1006,3,1002,1,2031,203,苏州城,苏州城外(3),,,,,,,,,
20312,1007,9,1001,2,2031,203,苏州城,苏州城外(3),,,,,,,,,
20313,1008,5,1002,3,2031,203,苏州城,苏州城外(3),,,,,,,,,
20314,1009,1,1001,4,2031,203,苏州城,苏州城外(3),,,,,,,,,
20315,1010,7,1002,5,2031,203,苏州城,苏州城外(3),,,,,,,,,
20316,1007,8,1001,6,2031,203,苏州城,苏州城外(3),,,,,,,,,
20317,1008,10,1002,7,2031,203,苏州城,苏州城外(3),,,,,,,,,
20318,1009,11,1001,8,2031,203,苏州城,苏州城外(3),,,,,,,,,
20319,1010,12,1002,9,2031,203,苏州城,苏州城外(3),,,,,,,,,
20321,1011,3,1001,1,2032,203,苏州城,苏州城外(3),,,,,,,,,
20322,1012,9,1002,2,2032,203,苏州城,苏州城外(3),,,,,,,,,
20323,1013,2,1001,3,2032,203,苏州城,苏州城外(3),,,,,,,,,
20324,1014,5,1002,4,2032,203,苏州城,苏州城外(3),,,,,,,,,
20325,1015,1,1001,5,2032,203,苏州城,苏州城外(3),,,,,,,,,
20326,1012,7,1002,6,2032,203,苏州城,苏州城外(3),,,,,,,,,
20327,1013,10,1001,7,2032,203,苏州城,苏州城外(3),,,,,,,,,
20328,1014,11,1002,8,2032,203,苏州城,苏州城外(3),,,,,,,,,
20329,1015,12,1001,9,2032,203,苏州城,苏州城外(3),,,,,,,,,
20331,1016,3,1002,1,2033,203,苏州城,苏州城外(3),,,,,,,,,
20332,1017,9,1001,2,2033,203,苏州城,苏州城外(3),,,,,,,,,
20333,1018,5,1002,3,2033,203,苏州城,苏州城外(3),,,,,,,,,
20334,1019,8,1001,4,2033,203,苏州城,苏州城外(3),,,,,,,,,
20335,1020,7,1002,5,2033,203,苏州城,苏州城外(3),,,,,,,,,
20336,1017,1,1001,6,2033,203,苏州城,苏州城外(3),,,,,,,,,
20337,1018,10,1002,7,2033,203,苏州城,苏州城外(3),,,,,,,,,
20338,1019,11,1001,8,2033,203,苏州城,苏州城外(3),,,,,,,,,
20339,1020,12,1002,9,2033,203,苏州城,苏州城外(3),,,,,,,,,
20411,1021,6,1001,1,2041,204,苏州城,苏州客栈(1),,,,,,,,,
20412,1022,2,1002,2,2041,204,苏州城,苏州客栈(1),,,,,,,,,
20413,1023,5,1001,3,2041,204,苏州城,苏州客栈(1),,,,,,,,,
20414,1024,8,1002,4,2041,204,苏州城,苏州客栈(1),,,,,,,,,
20415,1025,4,1001,5,2041,204,苏州城,苏州客栈(1),,,,,,,,,
20416,1022,7,1002,6,2041,204,苏州城,苏州客栈(1),,,,,,,,,
20417,1023,10,1001,7,2041,204,苏州城,苏州客栈(1),,,,,,,,,
20418,1024,11,1002,8,2041,204,苏州城,苏州客栈(1),,,,,,,,,
20419,1025,12,1001,9,2041,204,苏州城,苏州客栈(1),,,,,,,,,
