副本ID,地图ID,副本难度,前置副本ID,副本名称,副本标签,需要体力,进入等级,是否是Boss,Boss缩略图,战斗地图,背景音乐,前置对话ID,战斗关卡1,战斗关卡2,战斗关卡3,战斗关卡4,战斗关卡5,客户端副本剧情描述,客户端展示资源掉落包ID,客户端展示道具掉落包ID,所属地图名,
10215,1,2,10214,十里坡(3),6,5,1,1,HuXiMei,Gobi1,Battle1.mp3,1001,1061,1062,1063,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,盛渔村,15
10216,1,2,10215,仙剑客栈(1),7,5,1,0,Lang3,Guhua,Battle1.mp3,1001,1071,1072,1073,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,盛渔村,16
10217,1,2,10216,仙剑客栈(2),8,5,1,0,LeiZhenZi,Guhua1,Battle1.mp3,1001,1081,1082,1083,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,盛渔村,17
10218,1,2,10217,仙剑客栈(3),9,5,1,1,LinYueRu,Gutenglin,Battle1.mp3,1001,1091,1092,1093,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,盛渔村,18
10319,1,3,10218,仙灵岛(1),1,5,1,0,BaiJingJing,Bamboo,Battle1.mp3,1001,1011,1012,1013,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,盛渔村,19
10320,1,3,10319,仙灵岛(2),2,5,1,0,ChengCaiYi,Bamboo1,Battle1.mp3,1001,1021,1022,1023,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,盛渔村,20
10321,1,3,10320,仙灵岛(3),3,5,1,1,ChiGuiWang,Fenchang,Battle1.mp3,1001,1031,1032,1033,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,盛渔村,21
10322,1,3,10321,十里坡(1),4,5,1,0,DuGuYuYun,Fenchang1,Battle1.mp3,1001,1041,1042,1043,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,盛渔村,22
10323,1,3,10322,十里坡(2),5,5,1,0,HuangTianHua,Gobi,Battle1.mp3,1001,1051,1052,1053,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,盛渔村,23
10324,1,3,10323,十里坡(3),6,5,1,1,HuXiMei,Gobi1,Battle1.mp3,1001,1061,1062,1063,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,盛渔村,24
10325,1,3,10324,仙剑客栈(1),7,5,1,0,Lang3,Guhua,Battle1.mp3,1001,1071,1072,1073,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,盛渔村,25
10326,1,3,10325,仙剑客栈(2),8,5,1,0,LeiZhenZi,Guhua1,Battle1.mp3,1001,1081,1082,1083,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,盛渔村,26
10327,1,3,10326,仙剑客栈(3),9,5,1,1,LinYueRu,Gutenglin,Battle1.mp3,1001,1091,1092,1093,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,盛渔村,27
20101,2,1,10109,苏州城外(1),1,5,11,0,ShaSeng,Huanggong,Battle1.mp3,1001,2011,2012,2013,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,苏州城,1
20102,2,1,20101,苏州城外(2),2,5,11,0,ShenGongBao,Lianyaota,Battle1.mp3,1001,2021,2022,2023,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,苏州城,2
20103,2,1,20102,苏州城外(3),3,5,11,1,ShiZhangLao,Plane,Battle1.mp3,1001,2031,2032,2033,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,苏州城,3
20104,2,1,20103,苏州客栈(1),4,5,11,0,ShuYao4,Plane1,Battle1.mp3,1001,2041,2042,2043,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,苏州城,4
20105,2,1,20104,苏州客栈(2),5,5,11,0,ShuYao5,Shangfuhoushan,Battle1.mp3,1001,2051,2052,2053,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,苏州城,5
20106,2,1,20105,苏州客栈(3),6,5,11,1,ShuYao3,Shanlu,Battle1.mp3,1001,2061,2062,2063,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,苏州城,6
20107,2,1,20106,林家堡(1),7,5,11,0,SunWuKong,Shanlu1,Battle1.mp3,1001,2071,2072,2073,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,苏州城,7
20108,2,1,20107,林家堡(2),8,5,11,0,SuDaJi,Shushangudao,Battle1.mp3,1001,2081,2082,2083,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,苏州城,8
20109,2,1,20108,林家堡(3),9,5,11,1,TianGuiHuang,Xuyuhuanjingcai,Battle1.mp3,1001,2091,2092,2093,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,苏州城,9
20110,2,1,20109,隐龙窟(1),10,5,11,0,XianGuan,Xuyuhuanjingjiu,Battle1.mp3,1001,2101,2102,2103,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,苏州城,10
20111,2,1,20110,隐龙窟(2),11,5,11,0,XieZiJing,Xuyuhuanjingqi,Battle1.mp3,1001,2111,2112,2113,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,苏州城,11
20112,2,1,20111,隐龙窟(3),12,5,11,1,XingTian,Xuyuhuanjingse,Battle1.mp3,1001,2121,2122,2123,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,苏州城,12
20213,2,2,20112,苏州城外(1),1,5,11,0,ShaSeng,Huanggong,Battle1.mp3,1001,2011,2012,2013,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,苏州城,13
20214,2,2,20213,苏州城外(2),2,5,11,0,ShenGongBao,Lianyaota,Battle1.mp3,1001,2021,2022,2023,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,苏州城,14
20215,2,2,20214,苏州城外(3),3,5,11,1,ShiZhangLao,Plane,Battle1.mp3,1001,2031,2032,2033,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,苏州城,15
20216,2,2,20215,苏州客栈(1),4,5,11,0,ShuYao4,Plane1,Battle1.mp3,1001,2041,2042,2043,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,苏州城,16
20217,2,2,20216,苏州客栈(2),5,5,11,0,ShuYao5,Shangfuhoushan,Battle1.mp3,1001,2051,2052,2053,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,苏州城,17
20218,2,2,20217,苏州客栈(3),6,5,11,1,ShuYao3,Shanlu,Battle1.mp3,1001,2061,2062,2063,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,苏州城,18
20219,2,2,20218,林家堡(1),7,5,11,0,SunWuKong,Shanlu1,Battle1.mp3,1001,2071,2072,2073,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,苏州城,19
20220,2,2,20219,林家堡(2),8,5,11,0,SuDaJi,Shushangudao,Battle1.mp3,1001,2081,2082,2083,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,苏州城,20
20221,2,2,20220,林家堡(3),9,5,11,1,TianGuiHuang,Xuyuhuanjingcai,Battle1.mp3,1001,2091,2092,2093,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,苏州城,21
20222,2,2,20221,隐龙窟(1),10,5,11,0,XianGuan,Xuyuhuanjingjiu,Battle1.mp3,1001,2101,2102,2103,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,苏州城,22
20223,2,2,20222,隐龙窟(2),11,5,11,0,XieZiJing,Xuyuhuanjingqi,Battle1.mp3,1001,2111,2112,2113,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,苏州城,23
20224,2,2,20223,隐龙窟(3),12,5,11,1,XingTian,Xuyuhuanjingse,Battle1.mp3,1001,2121,2122,2123,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,苏州城,24
20325,2,3,20224,苏州城外(1),1,5,11,0,ShaSeng,Huanggong,Battle1.mp3,1001,2011,2012,2013,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,苏州城,25
20326,2,3,20325,苏州城外(2),2,5,11,0,ShenGongBao,Lianyaota,Battle1.mp3,1001,2021,2022,2023,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,苏州城,26
20327,2,3,20326,苏州城外(3),3,5,11,1,ShiZhangLao,Plane,Battle1.mp3,1001,2031,2032,2033,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,苏州城,27
20328,2,3,20327,苏州客栈(1),4,5,11,0,ShuYao4,Plane1,Battle1.mp3,1001,2041,2042,2043,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,苏州城,28
20329,2,3,20328,苏州客栈(2),5,5,11,0,ShuYao5,Shangfuhoushan,Battle1.mp3,1001,2051,2052,2053,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,苏州城,29
20330,2,3,20329,苏州客栈(3),6,5,11,1,ShuYao3,Shanlu,Battle1.mp3,1001,2061,2062,2063,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,苏州城,30
20331,2,3,20330,林家堡(1),7,5,11,0,SunWuKong,Shanlu1,Battle1.mp3,1001,2071,2072,2073,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,苏州城,31
20332,2,3,20331,林家堡(2),8,5,11,0,SuDaJi,Shushangudao,Battle1.mp3,1001,2081,2082,2083,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,苏州城,32
20333,2,3,20332,林家堡(3),9,5,11,1,TianGuiHuang,Xuyuhuanjingcai,Battle1.mp3,1001,2091,2092,2093,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,苏州城,33
20334,2,3,20333,隐龙窟(1),10,5,11,0,XianGuan,Xuyuhuanjingjiu,Battle1.mp3,1001,2101,2102,2103,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,苏州城,34
20335,2,3,20334,隐龙窟(2),11,5,11,0,XieZiJing,Xuyuhuanjingqi,Battle1.mp3,1001,2111,2112,2113,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,苏州城,35
20336,2,3,20335,隐龙窟(3),12,5,11,1,XingTian,Xuyuhuanjingse,Battle1.mp3,1001,2121,2122,2123,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,苏州城,36
30101,3,1,20112,玉佛寺(1),1,5,16,0,YangJian,Zhizhulin,Battle1.mp3,1001,3011,3012,3013,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,白河镇,1
30102,3,1,30101,玉佛寺(2),2,5,16,0,YuShiPiPa,Bamboo,Battle1.mp3,1001,3021,3022,3023,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,白河镇,2
30103,3,1,30102,玉佛寺(3),3,5,16,1,YuZuHong,Bamboo1,Battle1.mp3,1001,3031,3032,3033,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,白河镇,3
30104,3,1,30103,黑水镇(1),4,5,16,0,ZhaoLingEr,Fenchang,Battle1.mp3,1001,3041,3042,3043,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,白河镇,4
30105,3,1,30104,黑水镇(2),5,5,16,0,ZhenYuMingWang,Fenchang1,Battle1.mp3,1001,3051,3052,3053,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,白河镇,5
30106,3,1,30105,黑水镇(3),6,5,16,1,ZhiXiuHeShang,Gobi,Battle1.mp3,1001,3061,3062,3063,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,白河镇,6
30107,3,1,30106,将军冢(1),7,5,16,0,ZhuBaJie,Gobi1,Battle1.mp3,1001,3071,3072,3073,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,白河镇,7
30108,3,1,30107,将军冢(2),8,5,16,0,ZiXiaXianZi,Guhua,Battle1.mp3,1001,3081,3082,3083,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,白河镇,8
30109,3,1,30108,将军冢(3),9,5,16,1,ZiXuan,Guhua1,Battle1.mp3,1001,3091,3092,3093,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,白河镇,9
30110,3,1,30109,鬼阴山(1),10,5,16,0,BaiJingJing,Gutenglin,Battle1.mp3,1001,3101,3102,3103,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,白河镇,10
30111,3,1,30110,鬼阴山(2),11,5,16,0,ChengCaiYi,Huanggong,Battle1.mp3,1001,3111,3112,3113,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,白河镇,11
30112,3,1,30111,鬼阴山(3),12,5,16,1,ChiGuiWang,Lianyaota,Battle1.mp3,1001,3121,3122,3123,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,白河镇,12
30213,3,2,30112,玉佛寺(1),1,5,16,0,YangJian,Zhizhulin,Battle1.mp3,1001,3011,3012,3013,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,白河镇,13
30214,3,2,30213,玉佛寺(2),2,5,16,0,YuShiPiPa,Bamboo,Battle1.mp3,1001,3021,3022,3023,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,白河镇,14
30215,3,2,30214,玉佛寺(3),3,5,16,1,YuZuHong,Bamboo1,Battle1.mp3,1001,3031,3032,3033,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,白河镇,15
30216,3,2,30215,黑水镇(1),4,5,16,0,ZhaoLingEr,Fenchang,Battle1.mp3,1001,3041,3042,3043,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,白河镇,16
30217,3,2,30216,黑水镇(2),5,5,16,0,ZhenYuMingWang,Fenchang1,Battle1.mp3,1001,3051,3052,3053,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,白河镇,17
30218,3,2,30217,黑水镇(3),6,5,16,1,ZhiXiuHeShang,Gobi,Battle1.mp3,1001,3061,3062,3063,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,白河镇,18
30219,3,2,30218,将军冢(1),7,5,16,0,ZhuBaJie,Gobi1,Battle1.mp3,1001,3071,3072,3073,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,白河镇,19
30220,3,2,30219,将军冢(2),8,5,16,0,ZiXiaXianZi,Guhua,Battle1.mp3,1001,3081,3082,3083,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,白河镇,20
30221,3,2,30220,将军冢(3),9,5,16,1,ZiXuan,Guhua1,Battle1.mp3,1001,3091,3092,3093,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,白河镇,21
30222,3,2,30221,鬼阴山(1),10,5,16,0,BaiJingJing,Gutenglin,Battle1.mp3,1001,3101,3102,3103,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,白河镇,22
30223,3,2,30222,鬼阴山(2),11,5,16,0,ChengCaiYi,Huanggong,Battle1.mp3,1001,3111,3112,3113,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,白河镇,23
30224,3,2,30223,鬼阴山(3),12,5,16,1,ChiGuiWang,Lianyaota,Battle1.mp3,1001,3121,3122,3123,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,白河镇,24
30325,3,3,30224,玉佛寺(1),1,5,16,0,YangJian,Zhizhulin,Battle1.mp3,1001,3011,3012,3013,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,白河镇,25
30326,3,3,30325,玉佛寺(2),2,5,16,0,YuShiPiPa,Bamboo,Battle1.mp3,1001,3021,3022,3023,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,白河镇,26
30327,3,3,30326,玉佛寺(3),3,5,16,1,YuZuHong,Bamboo1,Battle1.mp3,1001,3031,3032,3033,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,白河镇,27
30328,3,3,30327,黑水镇(1),4,5,16,0,ZhaoLingEr,Fenchang,Battle1.mp3,1001,3041,3042,3043,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,白河镇,28
30329,3,3,30328,黑水镇(2),5,5,16,0,ZhenYuMingWang,Fenchang1,Battle1.mp3,1001,3051,3052,3053,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,白河镇,29
30330,3,3,30329,黑水镇(3),6,5,16,1,ZhiXiuHeShang,Gobi,Battle1.mp3,1001,3061,3062,3063,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,白河镇,30
30331,3,3,30330,将军冢(1),7,5,16,0,ZhuBaJie,Gobi1,Battle1.mp3,1001,3071,3072,3073,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,白河镇,31
30332,3,3,30331,将军冢(2),8,5,16,0,ZiXiaXianZi,Guhua,Battle1.mp3,1001,3081,3082,3083,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,白河镇,32
30333,3,3,30332,将军冢(3),9,5,16,1,ZiXuan,Guhua1,Battle1.mp3,1001,3091,3092,3093,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,白河镇,33
30334,3,3,30333,鬼阴山(1),10,5,16,0,BaiJingJing,Gutenglin,Battle1.mp3,1001,3101,3102,3103,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,白河镇,34
30335,3,3,30334,鬼阴山(2),11,5,16,0,ChengCaiYi,Huanggong,Battle1.mp3,1001,3111,3112,3113,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,白河镇,35
30336,3,3,30335,鬼阴山(3),12,5,16,1,ChiGuiWang,Lianyaota,Battle1.mp3,1001,3121,3122,3123,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,白河镇,36
40101,4,1,30112,扬州客栈(1),1,5,21,0,DuGuYuYun,Plane,Battle1.mp3,1001,4011,4012,4013,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,扬州城,1
40102,4,1,40101,扬州客栈(2),2,5,21,0,HuangTianHua,Plane1,Battle1.mp3,1001,4021,4022,4023,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,扬州城,2
40103,4,1,40102,扬州客栈(3),3,5,21,1,HuXiMei,Shangfuhoushan,Battle1.mp3,1001,4031,4032,4033,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,扬州城,3
40104,4,1,40103,扬州衙门(1),4,5,21,0,Lang3,Shanlu,Battle1.mp3,1001,4041,4042,4043,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,扬州城,4
40105,4,1,40104,扬州衙门(2),5,5,21,0,LeiZhenZi,Shanlu1,Battle1.mp3,1001,4051,4052,4053,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,扬州城,5
40106,4,1,40105,扬州衙门(3),6,5,21,1,LinYueRu,Shushangudao,Battle1.mp3,1001,4061,4062,4063,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,扬州城,6
40107,4,1,40106,扬州监狱(1),7,5,21,0,ShaSeng,Xuyuhuanjingcai,Battle1.mp3,1001,4071,4072,4073,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,扬州城,7
40108,4,1,40107,扬州监狱(2),8,5,21,0,ShenGongBao,Xuyuhuanjingjiu,Battle1.mp3,1001,4081,4082,4083,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,扬州城,8
40109,4,1,40108,扬州监狱(3),9,5,21,1,ShiZhangLao,Xuyuhuanjingqi,Battle1.mp3,1001,4091,4092,4093,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,扬州城,9
40110,4,1,40109,井下贼窝(1),10,5,21,0,ShuYao4,Xuyuhuanjingse,Battle1.mp3,1001,4101,4102,4103,,,面前这小姑娘竟是东邪黄岛主的孙女。看她那副着急的样子，谷中定有大事发生。,1003,1002,扬州城,10
